China,Confirmed,5327,1
China,Deaths,348,1
China,Recovered,4941,1
"Hong Kong SAR, China",Confirmed,1755,1
"Hong Kong SAR, China",Deaths,298,1
"Hong Kong SAR, China",Recovered,1433,1
"Taiwan, China",Confirmed,671,1
"Taiwan, China",Deaths,84,1
"Taiwan, China",Recovered,507,1
Canada,Confirmed,250,1
Canada,Deaths,38,1
Canada,Recovered,194,1
Singapore,Confirmed,206,1
Singapore,Deaths,32,1
Singapore,Recovered,172,1
United States,Confirmed,75,1
United States,Deaths,0,1
United States,Recovered,67,1
Viet Nam,Confirmed,63,1
Viet Nam,Deaths,5,1
Viet Nam,Recovered,58,1
Philippines,Confirmed,14,1
Philippines,Deaths,2,1
Philippines,Recovered,12,1
Germany,Confirmed,10,1
Germany,Deaths,0,1
Germany,Recovered,9,1
Mongolia,Confirmed,9,1
Mongolia,Deaths,0,1
Mongolia,Recovered,9,1
Thailand,Confirmed,9,1
Thailand,Deaths,2,1
Thailand,Recovered,7,1
France,Confirmed,7,1
France,Deaths,1,1
France,Recovered,6,1
Malaysia,Confirmed,5,1
Malaysia,Deaths,2,1
Malaysia,Recovered,3,1
Italy,Confirmed,4,1
Italy,Deaths,0,1
Italy,Recovered,4,1
United Kingdom,Confirmed,4,1
United Kingdom,Deaths,0,1
United Kingdom,Recovered,4,1
India,Confirmed,3,1
India,Deaths,0,1
India,Recovered,3,1
Republic of Korea,Confirmed,3,1
Republic of Korea,Deaths,0,1
Republic of Korea,Recovered,3,1
Sweden,Confirmed,3,1
Sweden,Deaths,0,1
Sweden,Recovered,3,1
Indonesia,Confirmed,2,1
Indonesia,Deaths,0,1
Indonesia,Recovered,2,1
South Africa,Confirmed,1,1
South Africa,Deaths,1,1
South Africa,Recovered,0,1
Switzerland,Confirmed,1,1
Switzerland,Deaths,0,1
Switzerland,Recovered,1,1
Spain,Confirmed,1,1
Spain,Deaths,0,1
Spain,Recovered,1,1
Brazil,Confirmed,1,1
Brazil,Deaths,0,1
Brazil,Recovered,1,1
Russian Federation,Confirmed,1,1
Russian Federation,Deaths,0,1
Russian Federation,Recovered,0,1
Romania,Confirmed,1,1
Romania,Deaths,0,1
Romania,Recovered,1,1
Republic of Ireland,Confirmed,1,1
Republic of Ireland,Deaths,0,1
Republic of Ireland,Recovered,1,1
"Macao SAR, China",Confirmed,1,1
"Macao SAR, China",Deaths,0,1
"Macao SAR, China",Recovered,1,1
Kuwait,Confirmed,1,1
Kuwait,Deaths,0,1
Kuwait,Recovered,1,1
Finland,Confirmed,1,1
Finland,Deaths,0,1
Finland,Recovered,1,1
Colombia,Confirmed,1,1
Colombia,Deaths,0,1
Colombia,Recovered,1,1
New Zealand,Confirmed,1,1
New Zealand,Deaths,0,1
New Zealand,Recovered,1,1
China,Confirmed,5327,49
China,Deaths,348,49
China,Recovered,4941,49
"Hong Kong SAR, China",Confirmed,1755,49
"Hong Kong SAR, China",Deaths,298,49
"Hong Kong SAR, China",Recovered,1433,49
"Taiwan, China",Confirmed,671,49
"Taiwan, China",Deaths,84,49
"Taiwan, China",Recovered,507,49
Canada,Confirmed,250,49
Canada,Deaths,38,49
Canada,Recovered,194,49
Singapore,Confirmed,206,49
Singapore,Deaths,32,49
Singapore,Recovered,172,49
United States,Confirmed,75,49
United States,Deaths,0,49
United States,Recovered,67,49
Viet Nam,Confirmed,63,49
Viet Nam,Deaths,5,49
Viet Nam,Recovered,58,49
Philippines,Confirmed,14,49
Philippines,Deaths,2,49
Philippines,Recovered,12,49
Germany,Confirmed,10,49
Germany,Deaths,0,49
Germany,Recovered,9,49
Mongolia,Confirmed,9,49
Mongolia,Deaths,0,49
Mongolia,Recovered,9,49
Thailand,Confirmed,9,49
Thailand,Deaths,2,49
Thailand,Recovered,7,49
France,Confirmed,7,49
France,Deaths,1,49
France,Recovered,6,49
Malaysia,Confirmed,5,49
Malaysia,Deaths,2,49
Malaysia,Recovered,3,49
Italy,Confirmed,4,49
Italy,Deaths,0,49
Italy,Recovered,4,49
United Kingdom,Confirmed,4,49
United Kingdom,Deaths,0,49
United Kingdom,Recovered,4,49
India,Confirmed,3,49
India,Deaths,0,49
India,Recovered,3,49
Republic of Korea,Confirmed,3,49
Republic of Korea,Deaths,0,49
Republic of Korea,Recovered,3,49
Sweden,Confirmed,3,49
Sweden,Deaths,0,49
Sweden,Recovered,3,49
Indonesia,Confirmed,2,49
Indonesia,Deaths,0,49
Indonesia,Recovered,2,49
South Africa,Confirmed,1,49
South Africa,Deaths,1,49
South Africa,Recovered,0,49
Switzerland,Confirmed,1,49
Switzerland,Deaths,0,49
Switzerland,Recovered,1,49
Spain,Confirmed,1,49
Spain,Deaths,0,49
Spain,Recovered,1,49
Brazil,Confirmed,1,49
Brazil,Deaths,0,49
Brazil,Recovered,1,49
Russian Federation,Confirmed,1,49
Russian Federation,Deaths,0,49
Russian Federation,Recovered,0,49
Romania,Confirmed,1,49
Romania,Deaths,0,49
Romania,Recovered,1,49
Republic of Ireland,Confirmed,1,49
Republic of Ireland,Deaths,0,49
Republic of Ireland,Recovered,1,49
"Macao SAR, China",Confirmed,1,49
"Macao SAR, China",Deaths,0,49
"Macao SAR, China",Recovered,1,49
Kuwait,Confirmed,1,49
Kuwait,Deaths,0,49
Kuwait,Recovered,1,49
Finland,Confirmed,1,49
Finland,Deaths,0,49
Finland,Recovered,1,49
Colombia,Confirmed,1,49
Colombia,Deaths,0,49
Colombia,Recovered,1,49
New Zealand,Confirmed,1,49
New Zealand,Deaths,0,49
New Zealand,Recovered,1,49